m2,price,location
54.88,269.0,Xierqi
105.15,539.0,Xierqi
105.15,539.0,Xierqi
98.15,520.0,Xierqi
91.5,478.0,Xierqi
66.86,400.0,Xierqi
218.49,1250.0,Xierqi
100.12,600.0,Xierqi
86.3,399.0,Xierqi
68.71,450.0,Xierqi
99.66,816.0,Xierqi
142.83,925.0,Xierqi
66.3,355.0,Xierqi
71.3,349.0,Xierqi
124.71,808.0,Xierqi
71.1,380.0,Xierqi
71.1,380.0,Xierqi
54.88,269.0,Xierqi
71.3,348.0,Xierqi
155.52,1359.0,Xierqi
66.86,400.0,Xierqi
72.42,325.0,Xierqi
147.01,1395.0,Xierqi
85.08,460.0,Xierqi
100.28,799.0,Xierqi
125.8,880.0,Xierqi
104.11,780.0,Xierqi
218.49,1250.0,Xierqi
119.88,599.0,Xierqi
88.49,498.0,Xierqi
105.15,539.0,Xierqi
114.22,785.0,Xierqi
180.19,1599.0,Xierqi
71.1,380.0,Xierqi
72.06,355.0,Xierqi
52.9,333.0,Xierqi
119.88,599.0,Xierqi
124.71,888.0,Xierqi
142.83,925.0,Xierqi
146.5,1395.0,Xierqi
91.7,510.0,Xierqi
91.5,478.0,Xierqi
114.24,580.0,Xierqi
98.69,1200.0,Xierqi
158.54,1360.0,Xierqi
87.41,739.0,Xierqi
52.9,333.0,Xierqi
114.24,499.0,Xierqi
100.28,799.0,Xierqi
87.41,700.0,Xierqi
80.76,715.0,Xierqi
88.49,498.0,Xierqi
162.3,1149.0,Xierqi
71.3,349.0,Xierqi
144.42,1099.0,Xierqi
132.2,1150.0,Xierqi
132.2,1150.0,Xierqi
69.8,325.0,Xierqi
114.24,550.0,Xierqi
68.71,450.0,Xierqi
54.88,269.0,Xierqi
101.81,435.0,Xierqi
68.71,449.0,Xierqi
216.72,1508.0,Xierqi
104.11,780.0,Xierqi
68.71,455.0,Xierqi
99.26,520.0,Xierqi
114.24,550.0,Xierqi
105.15,539.0,Xierqi
180.19,1599.0,Xierqi
72.06,310.0,Xierqi
96.1,480.0,Xierqi
101.81,435.0,Xierqi
124.71,808.0,Xierqi
225.44,1880.0,Xierqi
113.48,539.0,Xierqi
126.2,550.0,Xierqi
87.47,818.0,Xierqi
297.09,2280.0,Xierqi
144.42,1099.0,Xierqi
87.47,818.0,Xierqi
98.69,1200.0,Xierqi
180.19,1599.0,Xierqi
114.24,550.0,Xierqi
142.51,1220.0,Xierqi
126.08,598.0,Xierqi
88.86,798.0,Xierqi
297.09,2280.0,Xierqi
162.3,1149.0,Xierqi
104.11,780.0,Xierqi
225.44,1880.0,Xierqi
85.08,460.0,Xierqi
114.24,499.0,Xierqi
91.7,510.0,Xierqi
124.71,888.0,Xierqi
68.71,450.0,Xierqi
87.41,700.0,Xierqi
99.26,520.0,Xierqi
146.11,1250.0,Xierqi
114.22,785.0,Xierqi
54.88,269.0,Xierqi
89.24,659.0,Xierqi
99.66,816.0,Xierqi
147.01,1395.0,Xierqi
144.42,1099.0,Xierqi
50.39,279.0,Xierqi
65.69,470.0,Xierqi
225.44,1880.0,Xierqi
83.28,718.0,Xierqi
218.49,1250.0,Xierqi
80.97,539.0,Xierqi
142.51,1220.0,Xierqi
162.8,1350.0,Xierqi
155.52,1359.0,Xierqi
68.71,449.0,Xierqi
54.88,269.0,Xierqi
104.11,780.0,Xierqi
96.1,480.0,Xierqi
124.71,888.0,Xierqi
100.7,540.0,Xierqi
144.42,1099.0,Xierqi
98.6,499.0,Xierqi
126.2,550.0,Xierqi
72.06,355.0,Xierqi
162.8,1350.0,Xierqi
142.51,1220.0,Xierqi
68.71,449.0,Xierqi
91.5,478.0,Xierqi
71.1,380.0,Xierqi
225.44,1539.0,Xierqi
65.69,470.0,Xierqi
68.71,455.0,Xierqi
114.22,785.0,Xierqi
180.19,1599.0,Xierqi
71.3,349.0,Xierqi
88.49,498.0,Xierqi
65.5,320.0,Xierqi
124.71,888.0,Xierqi
65.5,360.0,Xierqi
68.71,449.0,Xierqi
125.21,985.0,Xierqi
58.5,269.0,Xierqi
100.12,600.0,Xierqi
