m2,price,location
139.31,1370,Shangdi
145,999,Shangdi
151,1700,Shangdi
141.22,1060,Shangdi
156,1120,Shangdi
141.22,1060,Shangdi
57.57,408,Shangdi
47.3,738,Shangdi
115.91,898,Shangdi
122.34,920,Shangdi
150.92,1350,Shangdi
85.27,790,Shangdi
103.7,1135,Shangdi
149.84,1680,Shangdi
58.1,868,Shangdi
141,1136,Shangdi
147.91,1420,Shangdi
98.37,820,Shangdi
161.79,1690,Shangdi
36.69,345,Shangdi
101.52,820,Shangdi
114.4,899,Shangdi
108.08,798,Shangdi
86.59,599,Shangdi
121.9,1298,Shangdi
128.23,1170,Shangdi
138.55,1230,Shangdi
140.87,1098,Shangdi
62.6,375,Shangdi
148.39,1030,Shangdi
139.31,1300,Shangdi
99.41,736,Shangdi
146.1,1268,Shangdi
51.1,390,Shangdi
57.57,515,Shangdi
193.59,1460,Shangdi
189.52,1309,Shangdi
158.62,800,Shangdi
82.3,970,Shangdi
95.67,1198,Shangdi
141.22,1130,Shangdi
150.92,1315,Shangdi
116.48,986,Shangdi
213.18,1980,Shangdi
180.13,1080,Shangdi
65.19,630,Shangdi
114.4,899,Shangdi
47.3,738,Shangdi
111.57,870,Shangdi
116.48,986,Shangdi
149.67,1720,Shangdi
86.75,568,Shangdi
82.3,970,Shangdi
60.8,755,Shangdi
141.22,1130,Shangdi
116.35,820,Shangdi
150.92,1350,Shangdi
122.11,999,Shangdi
149.4,1680,Shangdi
145.23,1680,Shangdi
157.74,1459,Shangdi
57.57,408,Shangdi
102.1,810,Shangdi
111.57,750,Shangdi
107.99,798,Shangdi
156,1120,Shangdi
73.6,880,Shangdi
132,1268,Shangdi
103.7,950,Shangdi
78.1,898,Shangdi
74,940,Shangdi
148.39,1030,Shangdi
114.3,1100,Shangdi
172.33,1298,Shangdi
127.28,1260,Shangdi
128.07,1399,Shangdi
132,1268,Shangdi
158.99,1090,Shangdi
61.88,779,Shangdi
88.17,593,Shangdi
43.3,760,Shangdi
74,900,Shangdi
107.99,730,Shangdi
120.41,870,Shangdi
103.7,1135,Shangdi
111.57,760,Shangdi
76.8,996,Shangdi
36.69,345,Shangdi
59.3,788,Shangdi
125.3,1099,Shangdi
85.7,1090,Shangdi
107.99,798,Shangdi
139.62,950,Shangdi
48.9,660,Shangdi
93.95,750,Shangdi
140.47,943,Shangdi
36.69,299,Shangdi
132.59,1249,Shangdi
79.8,938,Shangdi
119,799,Shangdi
156.15,1499,Shangdi
86,730,Shangdi
161.79,1690,Shangdi
131.63,1278,Shangdi
93.74,865,Shangdi
88.17,593,Shangdi
41.69,300,Shangdi
161.79,1690,Shangdi
118.22,900,Shangdi
57.57,515,Shangdi
134.32,968,Shangdi
141.22,1060,Shangdi
112.8,905,Shangdi
158.62,800,Shangdi
156.72,1888,Shangdi
187.49,898,Shangdi
122.39,880,Shangdi
56.35,780,Shangdi
