m2,price,location
63.1,415,Xisanqi
157.32,1100,Xisanqi
319.14,1950,Xisanqi
100,590,Xisanqi
72.3,450,Xisanqi
86.29,720,Xisanqi
87.2,519,Xisanqi
67,320,Xisanqi
79.25,365,Xisanqi
128.55,448,Xisanqi
50.72,251,Xisanqi
70.12,278,Xisanqi
140.4,618,Xisanqi
100,590,Xisanqi
161.03,1450,Xisanqi
69,399,Xisanqi
177.7,980,Xisanqi
132.33,910,Xisanqi
194.17,1188,Xisanqi
319.14,2050,Xisanqi
87.76,310,Xisanqi
126.87,888,Xisanqi
128.52,1070,Xisanqi
89.41,490,Xisanqi
91.14,720,Xisanqi
254.63,2050,Xisanqi
150.6,1150,Xisanqi
196.31,1399,Xisanqi
59.91,302,Xisanqi
96.4,450,Xisanqi
88.62,488,Xisanqi
132.06,785,Xisanqi
93.56,650,Xisanqi
70.26,288,Xisanqi
105.91,670,Xisanqi
90.01,578,Xisanqi
62.21,280,Xisanqi
59.18,174.3,Xisanqi
156.69,1050,Xisanqi
80.72,320,Xisanqi
90.65,558,Xisanqi
69.52,299,Xisanqi
87.22,899,Xisanqi
76,470,Xisanqi
132.06,785,Xisanqi
63.2,252,Xisanqi
81.47,359,Xisanqi
291.39,1795,Xisanqi
157.92,999,Xisanqi
86.36,309,Xisanqi
67.25,405,Xisanqi
156.69,1050,Xisanqi
102.02,530,Xisanqi
116.28,898,Xisanqi
194.17,1188,Xisanqi
159.93,940,Xisanqi
130.19,870,Xisanqi
89.06,340,Xisanqi
67.25,405,Xisanqi
275.97,1780,Xisanqi
130.52,850,Xisanqi
58.2,242,Xisanqi
96.4,450,Xisanqi
82.87,298,Xisanqi
76,470,Xisanqi
132.06,785,Xisanqi
138,861,Xisanqi
87.76,310,Xisanqi
63.1,415,Xisanqi
64.69,298,Xisanqi
164.76,1300,Xisanqi
75.54,439,Xisanqi
62.3,190,Xisanqi
135.31,837,Xisanqi
126,545,Xisanqi
79.25,365,Xisanqi
118.03,650,Xisanqi
93.3,660,Xisanqi
61.8,348,Xisanqi
190,1220,Xisanqi
37.91,210,Xisanqi
42.37,275,Xisanqi
70.26,288,Xisanqi
61.34,305,Xisanqi
87.2,519,Xisanqi
80.85,400,Xisanqi
114.74,690,Xisanqi
86.48,400,Xisanqi
59.18,174.3,Xisanqi
118.03,650,Xisanqi
127.75,595,Xisanqi
319.14,1950,Xisanqi
70.07,350,Xisanqi
89,538,Xisanqi
59.8,298,Xisanqi
70.1,290,Xisanqi
97.12,578,Xisanqi
156.69,1050,Xisanqi
86.36,282,Xisanqi
91.95,610,Xisanqi
91.47,420,Xisanqi
89.41,490,Xisanqi
97.33,610,Xisanqi
216.65,1450,Xisanqi
101.62,638,Xisanqi
164.76,1300,Xisanqi
89.63,509,Xisanqi
132.16,820,Xisanqi
87.22,899,Xisanqi
108.93,510,Xisanqi
252.67,2200,Xisanqi
159.93,940,Xisanqi
45.05,260,Xisanqi
319.14,1950,Xisanqi
194.17,1188,Xisanqi
291.39,1795,Xisanqi
116.61,720,Xisanqi
159.93,940,Xisanqi
63.1,415,Xisanqi
128.55,448,Xisanqi
126,545,Xisanqi
157.39,1440,Xisanqi
176.13,1250,Xisanqi
69,420,Xisanqi
72.3,315,Xisanqi
72.3,450,Xisanqi
82.87,235,Xisanqi
63.1,435,Xisanqi
116.28,898,Xisanqi
319.14,2050,Xisanqi
96.1,688,Xisanqi
94.36,588,Xisanqi
74.8,549,Xisanqi
81,248,Xisanqi
238.74,3500,Xisanqi
93.3,660,Xisanqi
59.18,174.5,Xisanqi
69,399,Xisanqi
92.9,320,Xisanqi
56.5,330,Xisanqi
167.23,1260,Xisanqi
194.17,1188,Xisanqi
227.2,1580,Xisanqi
102.02,530,Xisanqi
156.69,1050,Xisanqi
42.37,275,Xisanqi
69.75,450,Xisanqi
70.26,288,Xisanqi
101.6,610,Xisanqi
114.74,690,Xisanqi
177.7,980,Xisanqi
88.62,488,Xisanqi
89.41,490,Xisanqi
126.38,505,Xisanqi
163.59,1420,Xisanqi
63.1,412,Xisanqi
163.59,1420,Xisanqi
101.62,638,Xisanqi
159.93,940,Xisanqi
91.16,589,Xisanqi
58.5,360,Xisanqi
319.14,1950,Xisanqi
116.61,720,Xisanqi
81,248,Xisanqi
140.4,618,Xisanqi
194.17,1188,Xisanqi
76.7,388,Xisanqi
63.1,290,Xisanqi
143.87,988,Xisanqi
50.72,251,Xisanqi
90,480,Xisanqi
87.2,519,Xisanqi
70.26,290,Xisanqi
132.06,785,Xisanqi
252.67,2200,Xisanqi
77.42,445,Xisanqi
93.98,439,Xisanqi
96.85,660,Xisanqi
163.59,1420,Xisanqi
60.01,318,Xisanqi
93.67,630,Xisanqi
67.25,405,Xisanqi
88.62,488,Xisanqi
56.5,330,Xisanqi
59.91,302,Xisanqi
134.8,730,Xisanqi
79.25,365,Xisanqi
72.3,315,Xisanqi
82.87,350,Xisanqi
196.31,1399,Xisanqi
97.33,610,Xisanqi
108.93,510,Xisanqi
96.85,680,Xisanqi
63.1,412,Xisanqi
154.08,590,Xisanqi
81,248,Xisanqi
77.42,445,Xisanqi
70.26,260,Xisanqi
63.1,435,Xisanqi
69.72,399,Xisanqi
159.93,940,Xisanqi
63.1,270,Xisanqi
88.28,680,Xisanqi
319.14,1950,Xisanqi
93.67,630,Xisanqi
87.76,310,Xisanqi
116.48,640,Xisanqi
89.41,490,Xisanqi
319.14,1950,Xisanqi
102.02,530,Xisanqi
69,385,Xisanqi
59.2,229,Xisanqi
96.85,660,Xisanqi
319.14,1950,Xisanqi
90.65,568,Xisanqi
97.29,650,Xisanqi
157.32,1090,Xisanqi
50.72,251,Xisanqi
116.61,720,Xisanqi
83.3,300,Xisanqi
176.13,1250,Xisanqi
157.32,1090,Xisanqi
89.96,542,Xisanqi
134.86,533,Xisanqi
70.1,290,Xisanqi
126,545,Xisanqi
319.14,2050,Xisanqi
91.47,420,Xisanqi
82.87,298,Xisanqi
83.3,300,Xisanqi
65.31,268,Xisanqi
70.12,272,Xisanqi
70.12,272,Xisanqi
75.54,439,Xisanqi
167.23,1260,Xisanqi
150.6,1150,Xisanqi
140.4,618,Xisanqi
159.93,940,Xisanqi
